 Solar minimum
cos = -0.950
azimth =  30.000
 2.375   0.6321196E-06   0.4938865E-06   0.1379334E-04   0.8958090E-05
 2.425   0.4210262E-06   0.3265574E-06   0.9505693E-05   0.6137805E-05
 2.475   0.2804260E-06   0.2159187E-06   0.6550842E-05   0.4205425E-05
 2.525   0.1865771E-06   0.1424891E-06   0.4501988E-05   0.2874482E-05
 2.575   0.1240018E-06   0.9385016E-07   0.3085370E-05   0.1960032E-05
 2.625   0.8241324E-07   0.6181408E-07   0.2114507E-05   0.1336491E-05
 2.675   0.5477292E-07   0.4071363E-07   0.1449143E-05   0.9113154E-06
 2.725   0.3636338E-07   0.2676408E-07   0.9903921E-06   0.6199027E-06
 2.775   0.2411527E-07   0.1756002E-07   0.6749895E-06   0.4206602E-06
 2.825   0.1599266E-07   0.1152124E-07   0.4600316E-06   0.2854571E-06
 2.875   0.1060595E-07   0.7559127E-08   0.3135289E-06   0.1937085E-06
 2.925   0.7025993E-08   0.4949998E-08   0.2130895E-06   0.1311323E-06
 2.975   0.4649374E-08   0.3235174E-08   0.1444242E-06   0.8855709E-07
 3.025   0.3076674E-08   0.2114420E-08   0.9788570E-07   0.5980495E-07
 3.075   0.2035959E-08   0.1381925E-08   0.6634340E-07   0.4038786E-07
 3.125   0.1345818E-08   0.9014444E-09   0.4484047E-07   0.2720932E-07
 3.175   0.8886562E-09   0.5868844E-09   0.3022299E-07   0.1828682E-07
 3.225   0.5867848E-09   0.3820896E-09   0.2037060E-07   0.1229012E-07
 3.275   0.3874588E-09   0.2487595E-09   0.1373001E-07   0.8259921E-08
 3.325   0.2555652E-09   0.1616417E-09   0.9228502E-08   0.5537933E-08
 3.375   0.1683865E-09   0.1048307E-09   0.6185663E-08   0.3704013E-08
 3.425   0.1109461E-09   0.6798657E-10   0.4146123E-08   0.2477407E-08
 3.475   0.7310022E-10   0.4409161E-10   0.2779045E-08   0.1656999E-08
 3.525   0.4811196E-10   0.2853978E-10   0.1857567E-08   0.1105605E-08
 3.575   0.3163141E-10   0.1843770E-10   0.1238195E-08   0.7359214E-09
 3.625   0.2079621E-10   0.1191136E-10   0.8253381E-09   0.4898480E-09
 3.675   0.1367255E-10   0.7695132E-11   0.5501419E-09   0.3260559E-09
 3.725   0.8979309E-11   0.4961702E-11   0.3656894E-09   0.2165085E-09
 3.775   0.5890684E-11   0.3193048E-11   0.2424058E-09   0.1434203E-09
 3.825   0.3864473E-11   0.2054858E-11   0.1606847E-09   0.9500521E-10
 3.875   0.2535215E-11   0.1322381E-11   0.1065137E-09   0.6293394E-10
 3.925   0.1663174E-11   0.8510065E-12   0.7060511E-10   0.4168877E-10
 3.975   0.1091094E-11   0.5476557E-12   0.4680244E-10   0.2761573E-10
azimth =  90.000
-0.975   0.3053760E+04   0.2645644E+04   0.6091131E+04   0.6049042E+04
-0.925   0.2757214E+04   0.2383240E+04   0.5510475E+04   0.5484133E+04
-0.875   0.2459941E+04   0.2120919E+04   0.4923007E+04   0.4908308E+04
-0.825   0.2169399E+04   0.1865269E+04   0.4345345E+04   0.4338620E+04
-0.775   0.1891628E+04   0.1621583E+04   0.3791000E+04   0.3789144E+04
-0.725   0.1631225E+04   0.1393851E+04   0.3270273E+04   0.3270802E+04
-0.675   0.1391409E+04   0.1184824E+04   0.2790379E+04   0.2791439E+04
-0.625   0.1174143E+04   0.9961263E+03   0.2355725E+04   0.2356047E+04
-0.575   0.9802986E+03   0.8284088E+03   0.1968286E+04   0.1967110E+04
-0.525   0.8098380E+03   0.6815206E+03   0.1628033E+04   0.1625021E+04
-0.475   0.6620029E+03   0.5546783E+03   0.1333370E+04   0.1328507E+04
-0.425   0.5354943E+03   0.4466317E+03   0.1081550E+04   0.1075048E+04
-0.375   0.4286374E+03   0.3558113E+03   0.8690523E+03   0.8612634E+03
-0.325   0.3395256E+03   0.2804601E+03   0.6919041E+03   0.6832457E+03
-0.275   0.2661425E+03   0.2187411E+03   0.5459467E+03   0.5368450E+03
-0.225   0.2064611E+03   0.1688255E+03   0.4270446E+03   0.4178914E+03
-0.175   0.1585199E+03   0.1289597E+03   0.3312412E+03   0.3223671E+03
-0.125   0.1204786E+03   0.9751260E+02   0.2548655E+03   0.2465255E+03
-0.075   0.9065726E+02   0.7300771E+02   0.1945998E+03   0.1869707E+03
-0.025   0.6755791E+02   0.5414006E+02   0.1475130E+03   0.1406983E+03
 0.025   0.4987429E+02   0.3978176E+02   0.1110688E+03   0.1051084E+03
 0.075   0.3649073E+02   0.2897805E+02   0.8311285E+02   0.7799680E+02
 0.125   0.2647302E+02   0.2093679E+02   0.6184758E+02   0.5752899E+02
 0.175   0.1905368E+02   0.1501306E+02   0.4579720E+02   0.4220544E+02
 0.225   0.1361361E+02   0.1069136E+02   0.3376887E+02   0.3082043E+02
 0.275   0.9662108E+01   0.7566672E+01   0.2481228E+02   0.2241944E+02
 0.325   0.6816724E+01   0.5326000E+01   0.1818055E+02   0.1625770E+02
 0.375   0.4784037E+01   0.3731158E+01   0.1329403E+02   0.1176178E+02
 0.425   0.3342271E+01   0.2603483E+01   0.9708026E+01   0.8495571E+01
 0.475   0.2326099E+01   0.1810720E+01   0.7084950E+01   0.6131021E+01
 0.525   0.1613831E+01   0.1256149E+01   0.5170940E+01   0.4423795E+01
 0.575   0.1116926E+01   0.8697987E+00   0.3776671E+01   0.3193472E+01
 0.625   0.7716230E+00   0.6015360E+00   0.2761961E+01   0.2307818E+01
 0.675   0.5324294E+00   0.4157476E+00   0.2023664E+01   0.1670532E+01
 0.725   0.3671456E+00   0.2873186E+00   0.1486261E+01   0.1211844E+01
 0.775   0.2444659E+00   0.1878043E+00   0.1010110E+01   0.8326268E+00
 0.825   0.1451807E+00   0.1166361E+00   0.7409127E+00   0.6272669E+00
 0.875   0.9796331E-01   0.7892997E-01   0.5278994E+00   0.4424010E+00
 0.925   0.6610260E-01   0.5341347E-01   0.3761278E+00   0.3120184E+00
 0.975   0.4460394E-01   0.3614591E-01   0.2679902E+00   0.2200612E+00
 1.025   0.3009739E-01   0.2446069E-01   0.1909429E+00   0.1552058E+00
 1.075   0.2030878E-01   0.1655303E-01   0.1360466E+00   0.1094640E+00
