fit_sk_nue01.dat
      0.106 &      0.975 &        1617.07336426
      0.119 &      0.975 &        1484.75170898
      0.133 &      0.975 &        1350.79870605
      0.150 &      0.975 &        1192.22509766
      0.168 &      0.975 &        1054.20825195
      0.188 &      0.975 &         930.47625732
      0.211 &      0.975 &         825.58630371
      0.237 &      0.975 &         697.32049561
      0.266 &      0.975 &         586.60937500
      0.299 &      0.975 &         500.06814575
      0.335 &      0.975 &         414.33328247
      0.376 &      0.975 &         338.14562988
      0.422 &      0.975 &         281.71517944
      0.473 &      0.975 &         222.81007385
      0.531 &      0.975 &         182.40635681
      0.596 &      0.975 &         141.92257690
      0.668 &      0.975 &         111.94955444
      0.750 &      0.975 &          86.20484161
      0.841 &      0.975 &          67.89344025
      0.944 &      0.975 &          50.94987488
      1.059 &      0.975 &          38.17071152
      1.189 &      0.975 &          29.21064758
      1.334 &      0.975 &          22.17943001
      1.496 &      0.975 &          15.84615898
      1.679 &      0.975 &          11.97406006
      1.884 &      0.975 &           8.49428368
      2.113 &      0.975 &           6.23372507
      2.371 &      0.975 &           4.36857653
      2.661 &      0.975 &           3.03981495
      2.985 &      0.975 &           2.12454057
      3.350 &      0.975 &           1.53764462
      3.758 &      0.975 &           1.04470539
      4.217 &      0.975 &           0.69536275
      4.732 &      0.975 &           0.51852214
      5.309 &      0.975 &           0.34041700
      5.957 &      0.975 &           0.23783953
      6.683 &      0.975 &           0.16112001
      7.499 &      0.975 &           0.11355045
      8.414 &      0.975 &           0.07109087
      9.441 &      0.975 &           0.04619095
     10.593 &      0.975 &           0.03253033
     11.885 &      0.975 &           0.02171625
     13.335 &      0.975 &           0.01448339
     14.962 &      0.975 &           0.00965207
     16.788 &      0.975 &           0.00642740
     18.836 &      0.975 &           0.00427818
     21.135 &      0.975 &           0.00284555
     23.714 &      0.975 &           0.00189192
     26.607 &      0.975 &           0.00125747
     29.854 &      0.975 &           0.00083535
     33.497 &      0.975 &           0.00055476
     37.584 &      0.975 &           0.00036833
     42.170 &      0.975 &           0.00024447
     47.315 &      0.975 &           0.00016223
     53.088 &      0.975 &           0.00010763
     59.566 &      0.975 &           0.00007139
     66.834 &      0.975 &           0.00004735
     74.989 &      0.975 &           0.00003140
     84.140 &      0.975 &           0.00002081
     94.406 &      0.975 &           0.00001380
    105.925 &      0.975 &           0.00000915
      0.106 &      0.925 &        1627.87316895
      0.119 &      0.925 &        1495.07446289
      0.133 &      0.925 &        1355.09753418
      0.150 &      0.925 &        1208.86132812
      0.168 &      0.925 &        1081.07678223
      0.188 &      0.925 &         946.37817383
      0.211 &      0.925 &         814.38787842
      0.237 &      0.925 &         701.32434082
      0.266 &      0.925 &         599.45715332
      0.299 &      0.925 &         497.18255615
      0.335 &      0.925 &         429.27139282
      0.376 &      0.925 &         343.35974121
      0.422 &      0.925 &         285.32485962
      0.473 &      0.925 &         225.59104919
      0.531 &      0.925 &         182.85845947
      0.596 &      0.925 &         147.03906250
      0.668 &      0.925 &         115.03923035
      0.750 &      0.925 &          89.00202179
      0.841 &      0.925 &          68.87554932
      0.944 &      0.925 &          51.09526825
      1.059 &      0.925 &          39.71857071
      1.189 &      0.925 &          30.82758713
      1.334 &      0.925 &          22.83731270
      1.496 &      0.925 &          16.78457451
      1.679 &      0.925 &          12.26852894
      1.884 &      0.925 &           9.05200577
      2.113 &      0.925 &           6.56960917
      2.371 &      0.925 &           4.68340015
      2.661 &      0.925 &           3.23077917
      2.985 &      0.925 &           2.27047229
      3.350 &      0.925 &           1.61569858
      3.758 &      0.925 &           1.06819224
      4.217 &      0.925 &           0.79089499
      4.732 &      0.925 &           0.52907294
      5.309 &      0.925 &           0.36181283
      5.957 &      0.925 &           0.23645200
      6.683 &      0.925 &           0.16493732
      7.499 &      0.925 &           0.11624388
      8.414 &      0.925 &           0.07918359
      9.441 &      0.925 &           0.05030371
     10.593 &      0.925 &           0.03459461
     11.885 &      0.925 &           0.02327173
     13.335 &      0.925 &           0.01563339
     14.962 &      0.925 &           0.01049000
     16.788 &      0.925 &           0.00703093
     18.836 &      0.925 &           0.00470893
     21.135 &      0.925 &           0.00315061
     23.714 &      0.925 &           0.00210664
     26.607 &      0.925 &           0.00140780
     29.854 &      0.925 &           0.00094012
     33.497 &      0.925 &           0.00062750
     37.584 &      0.925 &           0.00041866
     42.170 &      0.925 &           0.00027920
     47.315 &      0.925 &           0.00018614
     53.088 &      0.925 &           0.00012405
     59.566 &      0.925 &           0.00008264
     66.834 &      0.925 &           0.00005505
     74.989 &      0.925 &           0.00003665
     84.140 &      0.925 &           0.00002440
     94.406 &      0.925 &           0.00001624
    105.925 &      0.925 &           0.00001081
      0.106 &      0.875 &        1630.12280273
      0.119 &      0.875 &        1490.72131348
      0.133 &      0.875 &        1352.47082520
      0.150 &      0.875 &        1219.19299316
      0.168 &      0.875 &        1074.77392578
      0.188 &      0.875 &         957.18395996
      0.211 &      0.875 &         825.63555908
      0.237 &      0.875 &         705.47186279
      0.266 &      0.875 &         597.82489014
      0.299 &      0.875 &         509.19305420
      0.335 &      0.875 &         425.26568604
      0.376 &      0.875 &         350.38043213
      0.422 &      0.875 &         285.25195312
      0.473 &      0.875 &         231.92666626
      0.531 &      0.875 &         184.64819336
      0.596 &      0.875 &         153.02572632
      0.668 &      0.875 &         118.15771484
      0.750 &      0.875 &          93.88687897
      0.841 &      0.875 &          69.63598633
      0.944 &      0.875 &          53.26926804
      1.059 &      0.875 &          41.76255417
      1.189 &      0.875 &          31.68727875
      1.334 &      0.875 &          22.71245384
      1.496 &      0.875 &          16.86991310
      1.679 &      0.875 &          12.59276676
      1.884 &      0.875 &           9.30964088
      2.113 &      0.875 &           6.62978220
      2.371 &      0.875 &           4.67256546
      2.661 &      0.875 &           3.47271943
      2.985 &      0.875 &           2.44470286
      3.350 &      0.875 &           1.67402005
      3.758 &      0.875 &           1.16821039
      4.217 &      0.875 &           0.81764317
      4.732 &      0.875 &           0.55793583
      5.309 &      0.875 &           0.36711857
      5.957 &      0.875 &           0.25750297
      6.683 &      0.875 &           0.17543925
      7.499 &      0.875 &           0.11933019
